name,required,pass,category,reason,actual,expected,tolerance,minimum,maximum,diff_over_tol,tol_over_expected,note
cfast_t60_temp_upper_c,False,True,NON_GATING,required=False,73.85,44.66,35.0,,,0.834,0.784,Non-gating growth-phase calibration check.
cfast_t60_o2,False,True,NON_GATING,required=False,0.2076,0.20047,0.015,,,0.475,0.075,Non-gating growth-phase calibration check.
cfast_t120_temp_upper_c,False,True,NON_GATING,required=False,178.01,121.88,60.0,,,0.935,0.492,Non-gating growth-phase calibration check.
cfast_t120_o2,False,True,NON_GATING,required=False,0.197,0.18455,0.022,,,0.566,0.119,Non-gating growth-phase calibration check.
cfast_t240_o2_depleted,True,True,FITTED,|diff|/tol=0.996 > 0.85,0.0632,0.085108,0.022,,,0.996,0.258,Deep O2 depletion by t=240s (CFAST ULO2=8.51%). Uses SF o2_upper (apples-to-apples after entrainment fix).
cfast_t240_hrr_ventilation_limited,False,True,NON_GATING,required=False,528.91,,,,560.0,,,Structural gap (Phase 2): fire uses room-avg O2 (not upper-zone O2=8.51%) → cannot self-limit. CFAST: 276 kW. SF: 528.9 kW. Will become gating after Fase 2.
cfast_t240_hrr_structural_ratio,False,True,NON_GATING,required=False,1.915,,,,2.5,,,GAP-8 closed: fire_o2_upper_hrr_blend opt-in parameter implemented. SF/CFAST HRR ratio at t=240 = 1.92x (SF: 529 kW vs CFAST: 276 kW). Structural: room-avg O2 vs upper-zone O2. Target <1.5x after Phase-3 two-zone calibration.
cfast_t350_hrr_kw,True,True,A_PRIORI,no heuristic triggered,271.57,288.362,90.0,,,0.187,0.312,
cfast_t350_o2,True,True,A_PRIORI,no heuristic triggered,0.0693,0.06597990000000001,0.015,,,0.221,0.227,
cfast_t350_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,149.53,173.024,80.0,,,0.294,0.462,
cfast_t350_temp_lower_c,True,True,VACUOUS,tol/|expected|=0.676 > 0.5,65.28,66.527,45.0,,,0.028,0.676,
cfast_t350_hot_layer_m,True,True,FITTED,|diff|/tol=0.940 > 0.85,0.57,0.1,0.5,,,0.940,5.000,
cfast_t350_co_upper_ppm,True,True,A_PRIORI,no heuristic triggered,772.0,688.912,320.0,,,0.260,0.465,CO upper layer pre-opening (CFAST: ~690 ppm).
cfast_t360_hrr_kw,True,True,A_PRIORI,no heuristic triggered,223.2,288.362,90.0,,,0.724,0.312,
cfast_t360_o2,True,True,A_PRIORI,no heuristic triggered,0.0664,0.0645067,0.015,,,0.126,0.233,
cfast_t360_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,142.46,173.161,80.0,,,0.384,0.462,
cfast_t360_temp_lower_c,True,True,VACUOUS,tol/|expected|=0.673 > 0.5,66.76,66.8639,45.0,,,0.002,0.673,
cfast_t360_hot_layer_m,True,True,FITTED,|diff|/tol=0.982 > 0.85,0.64,0.1,0.55,,,0.982,5.500,
cfast_t360_co_upper_ppm,True,True,A_PRIORI,no heuristic triggered,809.0,693.9639999999999,320.0,,,0.359,0.461,CO upper layer pre-opening (CFAST: ~690 ppm).
cfast_t350_co2_upper_ppm,False,True,NON_GATING,required=False,136615.0,110600.0,28000.0,,,0.929,0.253,Non-gating: requires CO2u= key in log (updated SimulationLogWriter).
cfast_t420_co2_upper_ppm,False,True,NON_GATING,required=False,77868.0,60800.0,22000.0,,,0.776,0.362,Non-gating: requires CO2u= key in log (updated SimulationLogWriter).
cfast_t510_co2_upper_ppm,False,True,NON_GATING,required=False,35706.0,52300.00000000001,20000.0,,,0.830,0.382,Non-gating: requires CO2u= key in log (updated SimulationLogWriter).
cfast_t350_co2_upper_strat_min,True,True,A_PRIORI,no heuristic triggered,136615.0,,,50000.0,,,,"Phase 2B: fire-room CO2 upper ≥5 mol% at t=350s pre-window-opening (SF=13.66%, CFAST=11.06%)."
cfast_t380_hrr_recovering,True,True,A_PRIORI,no heuristic triggered,787.23,,,300.0,,,,
cfast_t380_upper_temp_bounded,True,True,A_PRIORI,no heuristic triggered,285.66,,,,500.0,,,
cfast_t380_o2_recovered,True,True,A_PRIORI,no heuristic triggered,0.1294,,,0.1,,,,
cfast_t420_hrr_kw,False,True,NON_GATING,required=False,1266.35,1280.0,260.0,,,0.053,0.203,"CMV-1: post-opening HRR — room-avg O2 suppresses fire vs CFAST upper-zone O2 (structural gap, Fase 2)."
cfast_t420_o2,True,True,A_PRIORI,no heuristic triggered,0.1492,0.132032,0.05,,,0.343,0.379,
cfast_t420_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,317.43,300.931,80.0,,,0.206,0.266,
